"","Date","Q","Rain","T","ETP_dint","peff"
"2557",2016-08-05,0.10621875,0.6,14.5208333333333,3.11413100425841,0
"2558",2016-08-06,0.0574270833333333,0.4,16.4791666666667,3.10974792738719,0
"2559",2016-08-07,0.162625,15.2,14.8208333333333,3.10491768806858,12.0950823119314
"2560",2016-08-08,0.169083333333333,0.2,14.1208333333333,3.09960084087011,0
"2561",2016-08-09,0.06278125,4.6,13.1833333333333,3.09375794035931,1.50624205964069
"2562",2016-08-10,0.192739583333333,9.3,13.5708333333333,3.08734954110372,6.21265045889628
"2563",2016-08-11,0.427072916666667,6.1,15.0375,3.08033619767086,3.01966380232914
"2564",2016-08-12,0.318739583333333,8.8,16.05,3.07267846462828,5.72732153537172
"2565",2016-08-13,0.223041666666667,2.1,14.4,3.0643368965435,0
"2566",2016-08-14,0.112104166666667,0.1,14.5041666666667,3.05527204798405,0
"2567",2016-08-15,0.0757083333333333,0,17.6125,3.04544447351747,0
"2568",2016-08-16,0.0525104166666667,4.4,19.0666666666667,3.03482397150894,1.36517602849106
"2569",2016-08-17,0.147583333333333,11.2,16.2166666666667,3.02341731551424,8.17658268448575
"2570",2016-08-18,0.21290625,3.9,16.2541666666667,3.0112405228868,0.888759477113198
"2571",2016-08-19,0.0897395833333333,7.6,15.65,2.99830961098005,4.60169038901995
"2572",2016-08-20,0.413947916666667,7.7,15.325,2.98464059714741,4.71535940285259
"2573",2016-08-21,0.477427083333333,2,16.1541666666667,2.97024949874232,0
"2574",2016-08-22,0.157645833333333,3.9,15.9916666666667,2.9551523331182,0.944847666881802
"2575",2016-08-23,0.08065625,1.1,14.05,2.93936511762848,0
"2576",2016-08-24,0.0614270833333333,0.2,14.1166666666667,2.9229038696266,0
"2577",2016-08-25,0.0493645833333333,9.8,14.3541666666667,2.90578460646598,6.89421539353402
"2578",2016-08-26,0.05240625,0.3,14.2,2.88802334550005,0
"2579",2016-08-27,0.0465416666666667,0,14.6333333333333,2.86963610408223,0
"2580",2016-08-28,0.0402916666666667,0,14.6375,2.85063889956597,0
"2581",2016-08-29,0.0344895833333333,0,14.525,2.83104774930468,0
"2582",2016-08-30,0.0320520833333333,2.7,17.0041666666667,2.81087867065181,0
"2583",2016-08-31,0.03146875,0.2,14.0875,2.79014768096076,0
"2584",2016-09-01,0.0867916666666667,12.4,14.275,2.76887079758498,9.63112920241502
"2585",2016-09-02,0.197625,0.9,14.5666666666667,2.7470640378779,0
"2586",2016-09-03,0.17775,17.3,14.5625,2.72474341919293,14.5752565808071
"2587",2016-09-04,0.372385416666667,12.7,14.8791666666667,2.70192495888352,9.99807504111648
"2588",2016-09-05,0.5365625,5.6,17.9333333333333,2.67862467430309,2.92137532569691
"2589",2016-09-06,0.108666666666667,4.5,16.9541666666667,2.65485858280507,1.84514141719493
"2590",2016-09-07,0.130625,1.6,18.3833333333333,2.63064270174289,0
"2591",2016-09-08,0.0745104166666667,4.1,14.8666666666667,2.60599304846998,1.49400695153002
"2592",2016-09-09,0.142697916666667,4.7,13.6625,2.58092564033976,2.11907435966024
"2593",2016-09-10,0.1375625,1.5,12.8,2.55545649470567,0
"2594",2016-09-11,0.0621666666666667,7.1,14.5791666666667,2.52960162892113,4.57039837107887
"2595",2016-09-12,0.142375,12,15.2916666666667,2.50337706033958,9.49662293966042
"2596",2016-09-13,0.209166666666667,0.3,12.8916666666667,2.47679880631444,0
"2597",2016-09-14,0.0696354166666667,0.6,13.7666666666667,2.44988288419914,0
"2598",2016-09-15,0.045875,2.8,14.3458333333333,2.42264531134712,0.377354688652882
"2599",2016-09-16,0.0498541666666667,0.5,13.1833333333333,2.39510128602908,0
"2600",2016-09-17,0.058,2.1,13.875,2.36726273018487,0
"2601",2016-09-18,0.0613645833333333,2.5,14.4458333333333,2.33914074667165,0.160859253328354
"2602",2016-09-19,0.0685520833333333,0.2,13.325,2.31074643834653,0
"2603",2016-09-20,0.0475729166666667,0.3,13.4041666666667,2.28209090806667,0
"2604",2016-09-21,0.0690104166666667,5.8,11.8791666666667,2.2531852586892,3.5468147413108
"2605",2016-09-22,0.0963229166666667,2.6,10.6041666666667,2.22404059307126,0.37595940692874
"2606",2016-09-23,0.113385416666667,8.5,12.5291666666667,2.19466801406998,6.30533198593002
"2607",2016-09-24,0.225447916666667,1,15.3541666666667,2.16507862454251,0
